date,league,division,year,home_team,away_team,odds__market_maximum__home_win__full_time_goals,odds__market_maximum__draw__full_time_goals,odds__market_maximum__away_win__full_time_goals,odds__market_maximum__over_2.5__full_time_goals,odds__market_maximum__under_2.5__full_time_goals,odds__market_average__home_win__full_time_goals,odds__market_average__draw__full_time_goals,odds__market_average__away_win__full_time_goals,odds__market_average__over_2.5__full_time_goals,odds__market_average__under_2.5__full_time_goals,home__points__avg,home__adj_points__avg,home__goals_for__avg,home__goals_against__avg,home__adj_goals_for__avg,home__adj_goals_against__avg,home__points__latest_avg,home__adj_points__latest_avg,home__goals_for__latest_avg,home__goals_against__latest_avg,home__adj_goals_for__latest_avg,home__adj_goals_against__latest_avg,away__points__avg,away__adj_points__avg,away__goals_for__avg,away__goals_against__avg,away__adj_goals_for__avg,away__adj_goals_against__avg,away__points__latest_avg,away__adj_points__latest_avg,away__goals_for__latest_avg,away__goals_against__latest_avg,away__adj_goals_for__latest_avg,away__adj_goals_against__latest_avg,target__home_team__full_time_goals,target__away_team__full_time_goals,target__home_team__shots,target__away_team__shots,target__home_team__shots_on_target,target__away_team__shots_on_target,target__home_team__corners,target__away_team__corners,target__home_team__yellow_cards,target__away_team__yellow_cards,target__home_team__red_cards,target__away_team__red_cards
2011-01-10,England,2,2012,Barnsley,Coventry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,10.0,7.0,6.0,2.0,3.0,8.0,1.0,1.0,0.0,0.0
2011-01-10,England,2,2012,Blackpool,Bristol City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,14.0,9.0,7.0,6.0,3.0,7.0,1.0,2.0,0.0,0.0
2011-01-10,England,2,2012,Crystal Palace,West Ham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,7.0,15.0,2.0,4.0,0.0,7.0,1.0,1.0,0.0,0.0
2011-01-10,England,2,2012,Hull,Cardiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,14.0,10.0,6.0,6.0,5.0,7.0,3.0,0.0,0.0,0.0
2011-01-10,England,2,2012,Ipswich,Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,18.0,9.0,11.0,6.0,5.0,3.0,2.0,1.0,0.0,0.0
2011-01-10,England,2,2012,Leeds,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,11.0,8.0,8.0,4.0,10.0,7.0,0.0,2.0,0.0,0.0
2011-01-10,England,2,2012,Leicester,Derby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,20.0,11.0,13.0,4.0,4.0,6.0,1.0,2.0,0.0,0.0
2011-01-10,England,2,2012,Millwall,Burnley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10.0,6.0,6.0,2.0,9.0,4.0,2.0,3.0,0.0,0.0
2011-01-10,England,2,2012,Peterboro,Doncaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,17.0,8.0,5.0,5.0,8.0,4.0,1.0,3.0,0.0,0.0
2011-01-10,England,2,2012,Reading,Middlesbrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,11.0,1.0,6.0,8.0,9.0,0.0,1.0,0.0,0.0
